"2023-12-31 00:00:00",42150.1,42874.4,41991.1,42241.1,1509.62,38254.38,42738.26,,55.26,1385.6,458.1,758.43
"2024-01-01 00:00:00",42241.1,44187.5,42215.7,44180.8,2457.3,38313.35,42873.81,,58.37,1369.76,545.16,715.78
"2024-01-02 00:00:00",44180.8,45913.4,44113.2,44972.0,6462.55,38379.61,42977.96,,64.12,1383.87,670.27,706.67
"2024-01-03 00:00:00",44975.4,45509.3,39501.0,42849.5,7003.56,38424.08,42969.63,,46.23,1665.26,591.33,683.61
"2024-01-04 00:00:00",42849.5,44784.9,42682.0,44211.9,3461.21,38481.67,43083.06,,51.49,1750.66,631.43,673.17
"2024-01-05 00:00:00",44210.0,44365.0,42480.0,44179.9,3371.05,38538.37,43180.47,,50.8,1815.36,653.1,669.16
"2024-01-06 00:00:00",44179.9,44241.8,43451.0,43960.0,990.42,38592.32,43311.26,41377.92,50.93,1822.91,645.1,664.35
"2024-01-07 00:00:00",43960.0,44483.9,43648.1,43915.9,1547.8,38645.29,43374.75,41524.52,54.23,1793.11,627.95,657.07
"2024-01-08 00:00:00",43915.9,47306.6,43208.5,46989.4,6838.67,38728.32,43610.87,41716.83,62.89,2013.48,852.54,696.16
"2024-01-09 00:00:00",46989.5,47988.0,44500.0,46128.7,8483.35,38801.95,43735.81,41889.79,63.98,2122.12,950.13,746.96
"2024-01-10 00:00:00",46128.7,47699.6,44331.8,46664.8,8288.08,38880.19,43875.58,42107.54,62.79,2255.55,1058.53,809.27
"2024-01-11 00:00:00",46678.1,49000.0,45619.1,46350.4,7397.11,38954.52,43993.25,42285.99,65.61,2390.96,1106.31,868.68
"2024-01-12 00:00:00",46350.4,46500.0,41476.0,42800.1,9423.72,38992.78,43945.75,42395.97,52.34,2618.74,847.92,864.53
"2024-01-13 00:00:00",42800.1,43230.0,42459.8,42827.9,1718.42,39030.94,43936.4,42498.32,52.26,2600.51,638.04,819.23
"2024-01-14 00:00:00",42827.9,43055.0,41717.0,41719.1,2802.78,39057.69,43842.15,42576.7,48.37,2632.99,377.88,730.96
"2024-01-15 00:00:00",41717.1,43318.0,41700.0,42506.4,2405.09,39092.01,43841.51,42677.43,44.36,2607.71,232.54,631.28
"2024-01-16 00:00:00",42499.3,43568.3,42042.1,43134.7,2360.5,39132.23,43824.85,42795.04,43.74,2588.14,166.15,538.25
"2024-01-17 00:00:00",43134.7,43165.0,42190.2,42747.8,2079.16,39168.21,43831.41,42893.35,49.61,2228.61,81.37,446.88
"2024-01-18 00:00:00",42746.1,42877.0,40625.0,41264.7,3426.98,39189.07,43789.75,42961.24,38.71,2239.26,-104.28,336.64
"2024-01-19 00:00:00",41264.8,42140.3,40255.0,41611.9,3578.28,39213.18,43762.85,43039.12,40.4,2239.28,-220.85,225.14
"2024-01-20 00:00:00",41611.9,41800.0,40000.0,41650.0,827.75,39237.43,43733.29,43098.32,41.24,2311.36,-306.63,118.79
"2024-01-21 00:00:00",41649.9,42260.0,41482.8,41554.7,892.76,39260.48,43601.99,43139.88,41.08,2307.18,-377.94,19.44
"2024-01-22 00:00:00",41554.8,41654.2,39410.9,39510.0,4093.73,39262.97,43328.89,43130.57,19.37,2174.69,-592.61,-102.97
"2024-01-23 00:00:00",39510.0,40100.0,38518.0,39844.0,3365.92,39268.75,43178.62,43087.76,23.1,2038.55,-727.41,-227.86
"2024-01-24 00:00:00",39844.0,40492.3,39451.1,40069.8,2453.94,39276.72,42971.51,43007.54,21.0,1872.36,-806.71,-343.63
